Particle_ID	category	AED	min_circle	max_dia	AR	x	y	P	height	T	RH	border
20240320_090825_19_1	rosettes	103.96258245911524	458.7	524.1964564931739	1.1493775933609958	937.0	753.0	168.1	12531	-52.1	1	0.0
20240320_090829_19_1	rosettes	76.96797044787779	392.7	451.9825577386809	1.2514619883040936	391.0	624.0	167.3	12561	-52.1	1	0.0
20240320_090829_19_2	compact	17.662828749912435	75.89999999999999	72.93671914749113	1.2962962962962963	815.0	144.0	167.3	12561	-52.1	1	0.0
20240320_090853_20_1	compact	30.021036153683717	122.1	133.08863587850016	1.0727272727272728	262.0	447.0	163.4	12716	-51.5	1	0.0
20240320_090906_20_2	rosettes	18.98697039278025	42.9	95.60037918334842	2.5714285714285716	510.0	565.0	161.1	12806	-51.6	1	0.0
20240320_090928_21_1	columns	56.225900885746874	267.3	284.92017303097373	1.0854700854700854	698.0	656.0	157.0	12972	-52.1	1	0.0
20240320_091015_22_1	compact	17.95479611219124	75.89999999999999	82.84577539017906	1.0285714285714285	609.0	537.0	149.6	13285	-51.7	1	0.0
20240320_091040_22_1	compact	10.366206368618458	42.9	52.619221773036514	1.1428571428571428	798.0	11.0	145.5	13464	-52.2	1	1.0
20240320_091111_23_1	compact	11.921500789841884	33.0	45.87474795571088	1.2941176470588236	326.0	464.0	140.3	13701	-52.5	1	0.0
20240320_091124_23_1	compact	17.26586055794982	62.7	75.2515780565431	1.2857142857142858	387.0	23.0	138.8	13773	-52.6	1	0.0
20240320_091135_23_2	compact	18.711115966576912	79.19999999999999	78.38802523345004	1.1612903225806452	870.0	605.0	137.0	13854	-52.6	1	0.0
20240320_091136_23_1	compact	11.0147089439055	29.7	43.93463895379135	1.4666666666666666	406.0	720.0	136.9	13862	-52.5	1	0.0
20240320_091136_23_2	compact	15.798114303896732	85.8	79.2171856354415	1.3928571428571428	197.0	595.0	136.9	13862	-52.5	1	0.0
